Date,HK.00316,HK.01378,HK.00883,HK.01171,HK.00386,HK.01308,HK.01088,HK.00998,600019.SS,HK.01919,HK.03988,HK.01288,HK.03323,HK.00762,HK.00857,HK.03328,HK.00728,HK.00941,HK.00939,000651.SZ,601088.SS,HK.02007,601006.SS,HK.01398,002157.SZ,601155.SS,HK.00267,HK.01044,601328.SS,600028.SS,601169.SS,HK.00017,HK.00868,601225.SS,601988.SS,HK.00688,000002.SZ,601818.SS,601288.SS,HK.02628,HK.00006,601398.SS,000069.SZ,600000.SS,601939.SS
2019-02-18,-9.286,3.33,11.75,3.7997,5.64632,3.35,14.87385,4.14193,5.72184944152832,2.461536,2.92221,3.07863,5.13633,8.67007,4.58843,5.48865,3.975,74.289,5.81044,37.00408935546875,16.05598258972168,8.7997,6.992013454437256,5.01789,7.938114643096924,26.690053939819336,10.497,55.06262,5.164241790771484,4.844367027282715,5.0753655433654785,43.78,7.05,7.10495662689209,3.144629716873169,25.75,23.853303909301758,3.43107271194458,3.165165424346924,17.43006,44.78,4.834249496459961,5.7003607749938965,9.49130630493164,6.053246021270752
2019-02-19,-9.336,3.33,11.83,3.6297,5.67632,3.38,14.89385,4.12193,5.729874134063721,2.4692283,2.91221,3.06863,5.17633,8.51007,4.59843,5.47865,3.925,73.039,5.76044,37.44891357421875,15.855181694030762,8.7597,7.139041423797607,4.99789,7.900493144989014,26.42974853515625,10.457,54.16262,5.130762100219727,4.827945709228516,5.066948413848877,44.74,7.16,7.027914047241211,3.127631664276123,25.35,23.704221725463867,3.439607858657837,3.1566109657287598,18.01006,44.78,4.808351993560791,5.6916584968566895,9.456282615661621,6.053246021270752
2019-02-20,-10.236,3.37,11.99,3.9097,5.69632,3.45,14.63385,4.18193,5.761974334716797,2.4846129,2.94221,3.08863,5.29633,8.73007,4.66843,5.48865,3.975,73.139,5.80044,37.75944900512695,16.080078125,8.7597,7.139041423797607,5.03789,8.549463272094727,26.62063980102539,10.477,54.11262,5.139132022857666,4.844367027282715,5.050114631652832,45.22,7.09,7.190557956695557,3.127631664276123,25.65,24.23039436340332,3.4566779136657715,3.165165424346924,18.85006,44.78,4.808351993560791,5.813497543334961,9.482550621032715,6.053246021270752
2019-02-21,-9.286,3.36,12.01,4.1297,5.73632,3.77,15.05385,4.16193,5.705799102783203,2.5076898,2.94221,3.12863,5.34633,8.83007,4.66843,5.51865,4.005,73.539,5.85044,37.633548736572266,15.951565742492676,8.8197,7.081863880157471,5.06789,9.405349731445312,26.52519416809082,10.577,55.16262,5.122392177581787,4.819734573364258,5.0248637199401855,46.26,7.12,7.173437595367432,3.1191327571868896,25.85,23.634063720703125,3.43107271194458,3.1480565071105957,18.85006,44.78,4.799718856811523,5.735172271728516,9.447525978088379,6.027191638946533
2019-02-22,-10.736,3.36,12.11,4.1297,5.74632,4.01,14.99385,4.22193,5.7378997802734375,2.538459,2.95221,3.15863,5.36633,8.83007,4.69843,5.51865,4.045,75.439,5.85044,37.73426818847656,15.750765800476074,8.9997,7.114537239074707,5.07789,10.345885276794434,27.32346534729004,10.677,56.51262,5.189351558685303,4.827945709228516,5.117448806762695,46.58,7.49,7.267599582672119,3.1361305713653564,26.0,23.651601791381836,3.465212821960449,3.1480565071105957,19.45006,45.48,4.791086673736572,5.7003607749938965,9.640154838562012,6.035876750946045
2019-02-25,-9.786,3.34,11.97,4.3497,5.74632,4.23,15.13385,4.45193,6.074951171875,2.6846127,3.08221,3.22863,5.40633,8.67007,4.68843,5.62865,3.975,73.089,6.05044,39.19736862182617,16.54593276977539,9.0997,7.318742275238037,5.26789,10.402318000793457,28.13909149169922,10.697,55.66262,5.473928928375244,4.983950614929199,5.454123497009277,45.78,7.43,7.5757670402526855,3.297611713409424,25.9,24.89688491821289,3.661517858505249,3.3191466331481934,20.90006,45.23,5.093227386474609,6.048474311828613,10.436934471130371,6.409318923950195
2019-02-26,-9.186,3.65,11.77,4.4297,5.69632,4.22,15.31385,4.33193,6.131126403808594,2.6615358,3.06221,3.17863,5.20633,8.61007,4.65843,5.59865,3.955,73.489,6.00044,38.21913146972656,16.7146053314209,8.9397,7.2288923263549805,5.16789,11.446310997009277,28.8419189453125,10.737,56.01262,5.3149003982543945,4.9264750480651855,5.353121280670166,44.9,7.04,7.592886447906494,3.263615608215332,25.85,24.370710372924805,3.5590977668762207,3.2421560287475586,20.55006,45.83,4.981003284454346,6.031068801879883,10.20052719116211,6.244309425354004
2019-02-27,-9.236,3.74,11.75,4.2997,5.69632,4.02,15.07385,4.31193,6.042850971221924,2.6076897,3.00221,3.15863,5.10633,8.66007,4.64843,5.63865,3.935,73.889,5.98044,37.89588928222656,16.553966522216797,8.6997,7.2288923263549805,5.15789,11.483932495117188,28.8419189453125,10.697,55.41262,5.38185977935791,4.959317684173584,5.470957279205322,43.94,6.84,7.7127299308776855,3.297611713409424,25.45,24.563640594482422,3.635913133621216,3.267819404602051,20.00006,46.03,5.015533924102783,6.083285808563232,10.358132362365723,6.296418190002441
2019-02-28,-8.686,3.57,11.61,4.2197,5.70632,3.97,14.79385,4.27193,6.018775939941406,2.6307666,3.00221,3.13863,5.09633,8.65007,4.56843,5.51865,3.875,73.039,5.89044,38.10854721069336,16.417421340942383,8.5797,7.294238090515137,5.14789,10.722099304199219,29.34517478942871,10.577,55.46262,5.35675048828125,4.934686183929443,5.403622627258301,43.46,6.73,7.644248008728027,3.263615608215332,25.75,24.546100616455078,3.6103079319000244,3.2507104873657227,19.85006,46.08,4.963738441467285,6.022366046905518,10.279329299926758,6.23562479019165
2019-03-01,-10.686,3.47,11.71,4.5597,5.73632,3.98,14.87385,4.37193,6.107051372528076,2.6230743,3.01221,3.15863,5.34633,9.05007,4.58843,5.55865,3.985,74.339,5.90044,38.89964294433594,16.730670928955078,8.8997,7.253396987915039,5.13789,11.051285743713379,29.23237419128418,10.597,55.41262,5.515778541564941,4.992160797119141,5.521458625793457,43.54,6.96,7.806891441345215,3.3146097660064697,26.2,25.02842903137207,3.7554030418395996,3.293483018875122,21.05006,45.83,5.050064563751221,6.083285808563232,10.524493217468262,6.374580383300781
