Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity
11/27/18	0.019068	0.00202	-0.020344	-0.030303	-0.004615	0	-0.01459	0	-0.015338	0	0.002924	0.005618	0.006838	0.002265	0.00566	0.003373	0.004866	-0.012219	0.001515	-0.009798	-0.022154	-0.011905	-0.00616	0.001812	0.009846	0.006555	-0.007937	-0.022154	0.000783	0.002508	-0.006014	-0.007519	-0.013301	-0.002268	-0.006493	-0.017013	-0.010461	-0.000943	-0.006508	-0.004802	-0.009191	-0.004677
11/28/18	0.022869	0.012097	0.022364	0.009943	0.020093	-0.007587	0.003417	0.002	0.000557	0.009772	0.008746	0.005587	0.011885	0.012429	0.013133	0.001681	0.014528	0.011719	0.012103	0.018049	0.016434	0.029573	0.009585	0.01085	0.058871	0.014352	0.0128	0.003906	0.004264	0.009414	0.005893	0.003788	0.006127	0.016345	0.004678	0.032692	0.036337	0.001705	0.001895	0.006031	0.012059	0.002845
11/29/18	-0.003049	0	0.001562	-0.030942	-0.001515	-0.012232	-0.013621	-0.001996	-0.020586	-0.006452	-0.008671	-0.013889	0.010067	0.004464	0.005556	-0.003356	0	-0.015444	-0.007474	-0.012774	-0.010935	0.007447	-0.006462	-0.012522	0.001341	-0.007107	-0.009479	-0.004669	-0.003812	-0.005482	-0.005425	0.013208	0.001218	-0.007809	-0.00144	-0.009311	-0.021487	-0.006482	-0.00705	0.005995	-0.020165	-0.002402
11/30/18	-0.002039	-0.033865	0.037441	0.018868	0.009105	0.02322	0	-0.008	0.000893	0.032468	-0.002915	-0.002817	0.011628	0.007778	0.01105	0.001684	0.004773	0.015033	0.004518	-0.008008	0.010301	0.015839	0.007058	0.007246	0.028093	0.010098	0.001595	0	0.006517	0.009896	0.0064	-0.020484	0.023114	0.015007	0.003474	0.026316	0.003833	0.008391	0.003536	0.001192	-0.008419	-0.002086
12/3/18	0.023493	0.004124	0.030075	0.02849	0.039098	0.083207	0.028769	0.008065	0.027815	0.031447	0.023392	0.022599	0.021346	0.003308	0.038251	0.016807	-0.009501	-0.02962	0.022489	0.039926	0.027546	0.017672	0.030738	0.026978	0.029544	-0.012361	0.031847	0.009382	0.021866	0.037167	0.028514	0.024715	0.079667	0.022863	0.020972	0.007326	0.021294	0.02552	0.023926	0.04881	-0.001887	0.024939
12/4/18	0	-0.01848	0.010219	0.01108	-0.011577	0.01257	0.003356	0.002	0.02894	0.006098	-0.002857	-0.002762	-0.017685	0.010989	-0.005263	0.004959	0.002398	0.005309	-0.002933	0.002772	0.011741	-0.00715	0.009254	0.008757	-0.000368	-0.029521	-0.00463	0.004648	0.012214	-0.001215	0.015409	0.005566	-0.019824	0.006707	0.008176	-0.018182	-0.018024	0.013135	0.002644	-0.005675	-0.003781	0.00728
12/5/18	-0.011976	-0.016736	-0.037572	-0.016438	-0.016105	0.002759	-0.020067	-0.007984	-0.010434	-0.021212	-0.014327	-0.01108	-0.018003	-0.025	-0.021164	-0.011513	-0.0311	0.005281	-0.013235	-0.015327	-0.002398	-0.005144	0.003175	-0.012153	0.057855	0.013965	-0.015504	-0.00771	-0.010252	-0.010168	-0.001878	-0.01476	-0.023596	-0.005703	-0.007333	-0.003704	0.004874	-0.009478	-0.004643	-0.011416	-0.002846	-0.005561
12/6/18	0.006061	-0.042553	-0.01952	-0.023677	-0.022321	-0.023384	-0.005688	-0.028169	-0.012466	-0.065015	-0.020349	-0.028011	-0.026667	-0.015608	-0.021622	-0.016639	-0.004938	-0.001313	-0.028316	-0.026263	-0.031352	-0.036194	-0.017655	-0.024605	-0.005669	-0.012965	-0.009449	-0.03885	-0.017338	-0.02054	-0.018551	-0.007491	-0.034522	-0.020456	-0.012064	-0.026022	-0.011729	-0.014045	-0.012155	-0.031178	0.002854	-0.013078
12/7/18	0.004016	-0.002222	-0.02144	-0.011412	-0.024353	-0.026761	-0.003432	-0.018634	0.007327	0	-0.017804	-0.014409	-0.018836	-0.00906	-0.022099	-0.010152	-0.01737	0.019724	-0.004601	0.000955	0.023497	-0.008584	0.013015	-0.014414	0.006987	0.01383	0.027027	0.011318	0.006657	-0.000202	-0.000163	0.009434	-0.009535	0.026313	-0.00127	0.009542	0.01108	-0.003672	0.004309	-0.020262	0.009488	0.001504
12/10/18	0.01	0.006682	0.00313	0.008658	-0.00156	-0.004342	0.011481	0.00211	-0.008297	-0.033113	-0.012085	-0.011696	-0.029668	-0.019429	0.009416	0	-0.010101	-0.007737	-0.015408	-0.023144	-0.005423	-0.019481	0.002112	-0.009141	-0.032498	-0.038298	-0.024768	-0.023981	-0.017303	0.004761	-0.013711	-0.024299	-0.001203	-0.006688	-0.013711	-0.017013	-0.018767	-0.015756	-0.010979	-0.015815	-0.00282	-0.009141
12/11/18	-0.00198	0	-0.00624	-0.021459	-0.009375	0.055233	0.005675	-0.002105	0.000701	0.006849	0	-0.005917	-0.003597	0.013986	-0.01306	-0.013675	0.005102	-0.016244	0	0.011383	0.002153	0.011038	0.000898	-0.00369	0.002153	0.039562	-0.011111	-0.009009	-0.001308	-0.009696	-0.002899	0.001916	0	-0.00423	0.002153	-0.009615	0.041037	0.002153	0.002153	-0.00618	-0.001885	0.002153
12/12/18	0.03373	-0.006637	0	-0.002924	0.012618	0.022039	0.01693	0.010549	-0.006344	0.017007	0.012232	0.011905	-0.009025	0.012644	0.017013	0.017331	0.010152	0.019815	0.021909	0.007375	0.010791	0.031659	0.003643	0.022222	-0.023796	0.009979	0.032103	-0.057025	0.000648	0.004099	0.004079	0.01912	0.012048	0.007526	0.008001	0.052427	0.017052	0.005016	0.005201	0.022388	0.018886	0.004266
12/13/18	-0.015355	0.026726	0.025118	0.035191	0.018692	-0.028302	0.028857	0.008351	0.011437	0.013378	0.012085	0.011765	0.045537	0.00454	0.013011	0	0	0.003238	0.004594	0.039893	0.005963	0.037037	0.00098	0.012681	-0.004103	0.022653	0.017107	-0.03681	0.00667	0.01167	0.004785	0.020638	0.039286	0.009929	0.002512	0.02952	0.028183	0.007579	0.005328	0.019465	0.004634	0.009088
12/14/18	-0.015595	-0.002169	-0.019908	-0.025496	-0.009174	-0.012483	-0.019417	-0.008282	-0.024184	-0.009901	-0.01194	-0.002907	-0.013937	-0.018079	-0.014679	-0.010221	-0.015075	-0.032279	-0.018293	-0.016389	-0.005033	-0.020408	-0.007744	-0.0161	-0.015497	-0.024137	-0.010703	0.010009	-0.014308	-0.010723	-0.009018	-0.011029	-0.02291	-0.022868	-0.009538	-0.02509	-0.027526	-0.014353	-0.009553	-0.011933	0.001845	-0.011396
12/17/18	0.007921	-0.017391	-0.009375	0.00436	-0.003086	-0.014045	-0.0011	0.006263	0.006075	-0.006667	0.003021	0.002915	0.008834	-0.001151	-0.011173	0.001721	0.007653	0.004003	0.001553	-0.005609	0.008369	-0.010417	0.004153	0.007273	0.001636	-0.028045	0.006182	0.004505	0.003381	0.015241	0.010082	0.005576	-0.008206	0.008082	0.01003	0.001838	0.003907	0.006894	0.004442	-0.003623	0.01105	0.005381
