Date	316 HK Equity	1378 HK Equity	883 HK Equity	1171 HK Equity	386 HK Equity	1308 HK Equity	1088 HK Equity	998 HK Equity	600019 CH Equity	1919 HK Equity	3988 HK Equity	1288 HK Equity	3323 HK Equity	762 HK Equity	857 HK Equity	3328 HK Equity	728 HK Equity	941 HK Equity	939 HK Equity	000651 CH Equity	601088 CH Equity	2007 HK Equity	601006 CH Equity	1398 HK Equity	002157 CH Equity	601155 CH Equity	267 HK Equity	1044 HK Equity	601328 CH Equity	600028 CH Equity	601169 CH Equity	17 HK Equity	868 HK Equity	601225 CH Equity	601988 CH Equity	688 HK Equity	000002 CH Equity	601818 CH Equity	601288 CH Equity	2628 HK Equity	6 HK Equity	601398 CH Equity	000069 CH Equity	600000 CH Equity	601939 CH Equity
12/31/21	191.300	8.230	8.030	15.500	3.630	28.200	18.280	3.380	8.784	15.120	2.810	2.680	9.560	3.900	3.470	4.710	2.600	46.800	5.400	45.427	27.627	6.92	7.851	4.4	11.851	35.736	7.7	40.15	5.655	5.189	5.447	30.85	19.5	14.967	3.742	18.46	24.241	4.073	3.607	12.92	48.6	5.680	8.636	10.464	7.189
1/3/22	201.000	8.470	8.090	16.260	3.690	29.650	18.660	3.390	8.784	16.080	2.830	2.700	9.610	3.910	3.480	4.740	2.590	47.100	5.440	45.427	27.627	6.74	7.851	4.42	11.851	35.736	7.77	40.4	5.655	5.189	5.447	30.45	19.34	14.967	3.742	18.42	24.241	4.073	3.607	13	49.25	5.680	8.636	10.464	7.189
1/4/22	199.500	8.420	8.200	15.900	3.720	29.600	18.440	3.410	8.843	16.000	2.880	2.730	9.560	3.950	3.460	4.800	2.710	48.000	5.510	45.962	27.800	6.93	7.901	4.44	12.500	35.909	8.03	40.25	5.650	5.210	5.455	30.55	19.22	15.007	3.755	19.46	25.060	4.073	3.596	13.06	49.1	5.712	8.879	10.482	7.228
1/5/22	194.000	8.280	8.400	16.260	3.840	29.350	18.800	3.450	8.771	15.400	2.920	2.780	9.520	4.000	3.510	4.850	2.750	49.600	5.610	47.837	27.440	6.83	7.914	4.52	12.728	37.204	8.15	40.4	5.709	5.243	5.500	30.35	18.5	14.810	3.785	19.74	25.934	4.116	3.638	13.14	49.2	5.770	9.555	10.584	7.387
1/6/22	192.000	8.320	8.540	15.720	3.830	29.600	18.560	3.450	9.043	15.040	2.900	2.760	10.040	3.990	3.490	4.820	2.720	49.150	5.550	47.183	27.154	6.83	7.882	4.5	12.514	35.953	8.24	40.4	5.683	5.218	5.463	29.95	18.28	14.762	3.776	20.35	25.724	4.082	3.617	13.16	49.05	5.744	9.471	10.473	7.393
1/7/22	190.600	8.450	8.590	15.780	3.910	30.200	18.420	3.500	9.317	14.920	2.970	2.790	10.740	4.030	3.710	4.890	2.770	49.700	5.610	49.080	27.523	7.08	7.960	4.57	12.472	38.577	8.3	40.1	5.783	5.319	5.539	29.9	18.68	14.844	3.839	22.2	26.765	4.145	3.656	13.46	48.65	5.796	9.574	10.650	7.507
1/10/22	187.300	8.740	8.540	16.100	3.860	29.200	18.780	3.550	9.292	14.860	2.990	2.830	10.620	4.050	3.720	4.950	2.810	50.300	5.750	49.233	27.850	7.32	7.996	4.64	13.522	40.345	8.27	41.7	5.807	5.306	5.551	30.25	19	15.258	3.827	22.1	27.092	4.169	3.656	13.24	48.7	5.807	9.768	10.661	7.482
1/11/22	187.600	9.050	8.570	15.880	3.880	28.300	18.780	3.600	9.357	14.820	2.990	2.860	10.800	4.030	3.700	5.020	2.800	50.450	5.860	48.875	27.765	7.37	8.048	4.63	13.124	40.668	8.24	42.5	5.846	5.259	5.614	30.3	19.38	15.118	3.841	22.85	27.275	4.183	3.669	13.26	48.55	5.810	9.883	10.678	7.510
1/12/22	195.200	9.110	9.150	16.420	3.930	28.600	19.300	3.630	9.204	15.160	2.990	2.860	10.720	4.070	3.820	5.030	2.820	50.800	5.800	48.433	27.979	7.17	8.039	4.61	12.905	40.124	8.28	43	5.834	5.294	5.601	30.6	19.38	15.258	3.824	22.6	27.023	4.179	3.652	13.34	48.45	5.784	9.902	10.650	7.451
1/13/22	200.000	9.320	9.240	16.940	4.030	30.050	19.700	3.680	9.135	15.540	3.020	2.920	10.400	4.110	3.890	5.140	2.870	51.050	5.890	47.880	28.398	6.61	7.984	4.7	12.540	39.162	8.53	42.15	5.890	5.351	5.621	30.85	18.8	15.662	3.845	22.15	26.365	4.213	3.686	13.58	48.8	5.792	9.564	10.678	7.482
